City,Users,NewUsers,Sessions,BounceRate,PagesPerSession,Transactions,Revenue,E_commerce_Conversion_Rate
Yuanlin City,2864,2281,3972,63.24,3.01,17,97029,0.43
Caotun Township,1159,889,1611,64.49,2.75,2,9855,0.12
Luodong Township,326,257,453,59.60,2.89,1,9405,0.22
Zhubei City,3164,2327,4696,57.24,3.45,15,84762,0.32
Changhua City,3939,3162,5567,63.14,2.9,16,82512,0.29
Tamsui District,1432,1073,2023,58.87,3.03,2,7875,0.1
Toufen City,578,436,797,60.10,3.03,1,7830,0.13
Lukang Township,302,244,397,59.45,3.51,2,7785,0.5
Keelung City,570,432,822,61.44,2.99,1,6390,0.12
Mailiao Township,39,34,41,70.73,2.66,1,5580,2.44
Dayuan District,340,256,453,57.17,3.12,1,5580,0.22
Magong City,454,350,611,63.01,3.32,3,5310,0.49
Yilan City,2659,2087,3788,62.54,2.8,9,47736,0.24
Sanzhong District,1383,982,1941,57.29,3.39,9,47340,0.46
Neihu District,4903,4030,5906,56.62,2.66,17,46665,0.29
Zhongli District,30467,22536,42850,59.85,3.01,82,458487,0.19
Pingtung City,2915,2309,4275,62.01,3.18,9,45045,0.21
Daxi District,204,148,283,55.12,3.95,1,4590,0.35
Taitung City,807,642,1168,62.76,3.42,6,38961,0.51
Miaoli City,1098,872,1454,67.06,2.71,6,34605,0.41
Zhunan Township,1754,1363,2549,59.87,3.17,6,32335,0.24
Guishan District,1025,765,1488,53.70,3.65,6,31977,0.4
Hualien City,1868,1389,2895,57.65,3.33,5,28512,0.17
Chiayi City,3044,2271,4299,58.73,3.43,4,23670,0.09
Tainan City,2330,1782,3054,61.13,2.88,4,22311,0.13
Xihu Township,78,60,131,56.49,5.53,3,21735,2.29
Tianzhong Township,55,38,65,66.15,2.46,1,2610,1.54
Zhushan Township,57,44,80,66.25,3.36,1,2070,1.25
Hukou Township,294,231,411,58.64,3.05,1,2070,0.24
Taoyuan District,9580,7225,13942,57.96,3.38,40,197640,0.29
Nantou City,977,763,1275,67.76,2.51,3,15057,0.24
Zhudong Township,4766,3593,6817,58.59,3.29,28,141306,0.41
Luzhu District,853,628,1257,54.18,3.49,3,14985,0.24
Yangmei District,193,155,287,59.23,3.15,3,14760,1.05
Bade District,435,338,586,65.87,3.78,2,12735,0.34
Douliu City,2646,2065,3636,63.94,2.98,13,104220,0.36
Puli Township,139,110,201,63.68,2.48,1,10935,0.5
Hemei Township,238,180,367,59.67,4.04,0,0,0
Huwei Township,207,163,264,64.02,3.08,0,0,0
Pingzhen District,206,153,271,51.66,3.55,0,0,0
Minxiong Township,183,145,255,57.25,2.98,0,0,0
Neipu Township,155,117,234,60.68,2.99,0,0,0
Longtan District,137,98,220,51.82,3.69,0,0,0
Chaozhou Township,134,97,209,60.77,3.3,0,0,0
Hengchun Township,126,100,168,58.33,3.3,0,0,0
Donggang Township,117,90,159,70.44,2.05,0,0,0
Hua-Lien,116,87,154,60.39,3.02,0,0,0
Jiaoxi Township,94,75,120,60.00,2.91,0,0,0
Shoufeng Township,90,75,137,52.55,3.07,0,0,0
Guanyin District,85,66,133,52.63,3.46,0,0,0
Sanxing Township,80,64,99,63.64,2.77,0,0,0
Puzi City,72,47,99,51.52,3.36,0,0,0
Dacun Township,62,48,85,67.06,2.98,0,0,0
Beidou Township,50,40,58,70.69,2.03,0,0,0
Dounan Township,48,35,55,80.00,1.78,0,0,0
Beigang Township,45,35,53,64.15,2.38,0,0,0
New Taipei City,34,25,36,69.44,2.58,0,0,0
Puyan Township,31,23,39,66.67,2.36,0,0,0
Xinwu District,27,20,35,54.29,4.77,0,0,0
Zaoqiao Township,7,7,8,62.50,5,0,0,0
Suao Township,2,1,2,50.00,4,0,0,0
Wulai District,2,2,3,33.33,5,0,0,0
